quarter,quarter,營業收入,營業收入成長率,營業收入(近四期),營業收入成長率(近四期),營業收入平均成長率,營業收入平均成長率(近四期),營業成本,營業成本費率,營業成本(近四期),營業成本費率(近四期),營業成本成長率(近四期),營業毛利,營業費用,推銷費用,管理費用,研究發展費用,營業利益,營業利益(近四期),營業利益率(近四期),營業利益率成長率(近四期),營業外收入及支出,稅前淨利,淨利,合併淨利,毛利率,營業費用率,營業利益率,淨利率,所得稅費用,合併淨利率,母公司淨利,母公司淨利率,母公司淨利率成長率,母公司淨利(近四期),母公司淨利成長率(近四期),母公司淨利率中位數成長率,非母公司淨利,每股盈餘,每股盈餘(近四期),每股盈餘成長率(近四期),現金及約當現金,應付帳款,應收帳款,存貨,流動資產,資產總計,合約負債,流動負債,負債總計,資本公積,法定盈餘公積,特別盈餘公積,保留盈餘,普通股股本,股本,普通股數,權益總計,負債及權益總計,現金CF,現金成長率,營業活動,折舊費用,攤銷費用,合約負債增減,融資活動,已付股利,投資活動,廠房及設備投資活動,淨現金流,付款天數,收款天數,出貨天數,營運天數,付款週轉率,收款週轉率,存貨週轉率,自由現金流,營業現金流對負債比,營業現金對流動負債比,營業現金流對淨利比,淨值,負債比,本業,業外,現金股利,股利發放比例,股東權益乘數,總資產週轉率,股東權益報酬率,資產報酬率,date,datetime,start,quarter.1,end,year,ns,Q,營業收入_TTM,營業收入_TTM_Change,營業收入_TTM_YoY,營業成本_TTM,營業成本_TTM_Change,營業成本_TTM_YoY,營業成本_TTM_%,營業毛利_TTM,營業毛利_TTM_Change,營業毛利_TTM_YoY,營業毛利_TTM_%,營業費用_TTM,營業費用_TTM_Change,營業費用_TTM_YoY,營業費用_TTM_%,每股盈餘_YTD,每股盈餘_YTD_YoY,每股盈餘_TTM,每股盈餘_TTM_Change,每股盈餘_TTM_YoY,現金股利_TTM,股利配發率,普通股數_Change,本益比平均數,本益比最大值,本益比最小值,淨值比平均數,淨值比最大值,淨值比最小值,open,high,low,close,本益比平均數_TTM,本益比平均數_TTM_YoY
2012Q1,2012Q1,105614831000.0,,,,0.0445230980649031,0.1364362895044197,55210347000.0,0.5227518377603615,,,,50404484000.0,14915291000.0,1100435000.0,4657004000.0,9157852000.0,35117313000.0,,,,555741000.0,35673054000.0,33382936000.0,31080988000.0,0.4772481622396385,0.1412234518464551,0.3325036140047414,0.316081895732996,2290118000.0,0.2942862068301752,33491634000.0,0.3171110883091788,,,,0.0438051124459535,-108698000.0,1.29,,,143472277000.0,10530487000.0,45830288000.0,24840582000.0,224392169000.0,779550815000.0,0,122074950000.0,149622170000.0,55471662000.0,102399995000.0,6433874000.0,320464327000.0,259162226000.0,259162226000.0,25916222600.0,629928645000.0,,170819939000.0,,56101634000.0,27477221000.0,528186000.0,0,20596856000.0,0.0,-47757582000.0,-48570613000.0,27347662000.0,,,40.493358609030295,,,,2.222586693017096,8344052000.0,2.666984173758647,2.1759606859222678,0.5969814355139816,24.30634489919839,0.1919338253786573,0.9844212665391644,0.0155787334608357,-0.0,-0.0,1.2375224101771083,0.1354816504168493,5.316734564436263,4.296273360961081,2012Q1,2012-01-01,2012-01-01,2012Q1,2012-03-31,2012,1325347200000000000,Q1,,,,,,,,,,,,,,,,1.29,,,,,,,,,,,3.2631610211371225,3.558741569690008,3.0691574693511514,75.0,86.5,74.6,84.9,,
2012Q2,2012Q2,128186331000.0,0.2137152498970528,,,0.0445230980649031,0.1364362895044197,65579011000.0,0.5115912943947198,,,,62607320000.0,15538069000.0,1104741000.0,4364938000.0,10068390000.0,46872088000.0,,,,-915157000.0,45956931000.0,41799616000.0,44248125000.0,0.4884087056052801,0.1212147104826645,0.3656558982096148,0.3260848147685887,4157315000.0,0.3451859855478663,41843339000.0,0.326425904178504,0.2493669015969779,,,0.0438051124459535,-43723000.0,1.61,,,178440559000.0,14126994000.0,60610432000.0,30780466000.0,284584019000.0,890590164000.0,0,218355100000.0,262652910000.0,55596476000.0,115820123000.0,7606224000.0,318050632000.0,259207094000.0,259207094000.0,25920709400.0,627937254000.0,,178440559000.0,0.0446120051594211,68667099000.0,31900131000.0,560700000.0,0,-4508096000.0,0.0,-57279337000.0,-59467478000.0,7620620000.0,16.91984414037595,37.36617128077408,42.242813634380674,79.60898491515475,5.319197934290206,2.4085957141214376,2.130539901507664,11387762000.0,3.825018295879953,3.1799086197015547,0.6093651779289525,24.22531128719803,0.2949200660608239,1.019913361925756,-0.019913361925756,-0.0,-0.0,1.418278909758713,0.1439341418551754,6.663617858863331,4.698383239723271,2012Q2,2012-04-01,2012-04-01,2012Q2,2012-06-30,2012,1333209600000000000,Q2,,,,,,,,,,,,,,,,2.9000000000000004,,,,,,,0.00017312708218519823,,,,3.4083464600055526,3.7068667120680177,3.1413425032113156,84.8,89.8,76.1,81.3,,
2012Q3,2012Q3,141499253000.0,0.103856018782533,,,0.0445230980649031,0.1364362895044197,72344501000.0,0.511271257382539,,,,69154752000.0,16370354000.0,1234982000.0,4478517000.0,10656855000.0,52797978000.0,,,,964363000.0,53762341000.0,49422294000.0,47121878000.0,0.488728742617461,0.1156921584596634,0.3731325563958984,0.3492760064252777,4340047000.0,0.333018563709308,49379633000.0,0.3489745136675739,0.1801073762301808,,,0.0438051124459535,42661000.0,1.9,,,138738113000.0,13773108000.0,64386937000.0,33249045000.0,249575097000.0,885771436000.0,0,125952667000.0,210684119000.0,55630425000.0,115820123000.0,7606224000.0,367430265000.0,259220476000.0,259220476000.0,25922047600.0,675087317000.0,,138738113000.0,-0.2224967587105575,75395863000.0,34124335000.0,553718000.0,0,-39313949000.0,-77748668000.0,-74510237000.0,-78333589000.0,-39702446000.0,17.35452691836246,39.75202331986869,41.36339332826416,81.11541664813285,5.185966775318599,2.264035701423444,2.1758369601292307,885626000.0,2.794372404756478,1.6705514333060951,0.6549382291704785,26.04297806319899,0.2378538192103092,0.9820624812450038,0.0179375187549961,2.999325871155333,1.5745088263414189,1.3120842499845098,0.1597469135367332,7.314554985188678,5.574760146137744,2012Q3,2012-07-01,2012-07-01,2012Q3,2012-09-30,2012,1341072000000000000,Q3,,,,,,,,,,,,,,,,4.8,,,,,,,5.162667345826044e-05,,,,3.1375420008307238,3.4481463595323327,2.833777297700291,81.5,89.8,73.8,89.8,,
2012Q4,2012Q4,131444819000.0,-0.0710564457891519,506745234000.0,,0.0445230980649031,0.1364362895044197,69449239000.0,0.5283528063589938,262583098000.0,,,61995580000.0,15687161000.0,1055828000.0,4131235000.0,10500098000.0,46389489000.0,181176868000.0,0.357530482467251,,-105359000.0,46284130000.0,41518956000.0,47925443000.0,0.4716471936410061,0.1193440800432004,0.3529198743086252,0.3158660517460182,4765174000.0,0.3646050362776185,41603680000.0,0.3165106111941924,-0.1574728795574483,166318286000.0,,0.0438051124459535,-84724000.0,1.6199999999999992,6.419999999999999,,143410588000.0,14490429000.0,57777586000.0,37830498000.0,250325436000.0,961354508000.0,0,148473947000.0,238260602000.0,55675340000.0,115820123000.0,7606224000.0,408411468000.0,259244357000.0,259244357000.0,25924435700.0,723093906000.0,,143410588000.0,0.0336783807921619,84798564000.0,35666827000.0,538171000.0,0,9636374000.0,0.0,-89770551000.0,-59765681000.0,4672475000.0,18.31350758213492,41.82290010989326,49.02494064765778,90.84784075755104,4.914405369717173,2.1519311134215293,1.8358002847332329,-4971987000.0,2.809724490145847,1.750901666212178,0.4906177420645944,27.89236820302322,0.2478384404684146,1.0022763526072545,-0.0022763526072543,-0.0,-0.0,1.3295016041803014,0.1367287695706109,5.7535652914214985,4.327610642462395,2012Q4,2012-10-01,2012-10-01,2012Q4,2012-12-31,2012,1349020800000000000,Q4,506745234000.0,,,262583098000.0,,,0.5181757624581823,244162136000.0,,,0.4818242375418177,62510875000.0,,,0.12335759826800857,6.419999999999999,,6.419999999999999,,,2.999325871155333,0.4671847151332295,9.212620996801313e-05,14.34867002156722,15.48286604361371,13.161993769470406,3.3026403806212814,3.5636988324722516,3.029502528610717,89.2,99.4,84.5,97.0,,
2013Q1,2013Q1,132754996000.0,0.0099675058322382,533885399000.0,,0.0445230980649031,0.1364362895044197,71988726000.0,0.5422675467520635,279361477000.0,,,60766270000.0,16376304000.0,1029799000.0,4695520000.0,10650985000.0,44428009000.0,190487564000.0,0.3567948558937833,,1319905000.0,45747914000.0,39535543000.0,45443350000.0,0.4577324532479365,0.1233573461898187,0.334661672544512,0.2978083250441287,6212371000.0,0.342309904479979,39576876000.0,0.2981196730253376,-0.0487169404245009,172403528000.0,,0.0438051124459535,-41333000.0,1.53,6.659999999999999,,186028798000.0,12462978000.0,65472529000.0,37833465000.0,297751192000.0,1061629726000.0,0,158206324000.0,292980641000.0,55762572000.0,115820123000.0,7606224000.0,447988344000.0,259282327000.0,259282327000.0,25928232700.0,768649085000.0,,186028798000.0,0.2971761750255148,73569672000.0,35964677000.0,531513000.0,0,44939320000.0,0.0,-77032913000.0,-80418491000.0,42618210000.0,16.848517572043157,41.77812769471968,47.29923752227536,89.07736521699505,5.34171624388709,2.1542372759652197,1.9027790872445864,-3463241000.0,3.9823562214603863,2.1504285624652506,0.5379509643593354,29.645255575016492,0.2759725296162251,0.9711483019750364,0.0288516980249635,-0.0,-0.0,1.3811630648073951,0.1250483033290648,5.148887414599603,3.727935930083405,2013Q1,2013-01-01,2013-01-01,2013Q1,2013-03-31,2013,1356969600000000000,Q1,533885399000.0,0.053557810077005996,,279361477000.0,0.06389740667923727,,0.5232611296792554,254523922000.0,0.04243813627187465,,0.47673887032074463,63971888000.0,0.02337214124742304,,0.11982325817455068,1.53,0.18604651162790686,6.659999999999999,0.03738317757009346,,2.999325871155333,0.4503492299032032,0.00014646413306507178,15.316655941655942,16.441441441441444,14.57957957957958,3.4409866466928523,3.69367704464255,3.2753976350209277,97.6,109.5,97.1,100.5,,
2013Q2,2013Q2,155886320000.0,0.1742407042820445,561585388000.0,,0.0445230980649031,0.1364362895044197,79467520000.0,0.5097786643497646,293249986000.0,,,76418800000.0,18792134000.0,1164693000.0,5685570000.0,11941871000.0,57629082000.0,201244558000.0,0.3583507731864277,,2387597000.0,60016679000.0,51761503000.0,57411414000.0,0.4902213356502354,0.1205502445628327,0.3696865895609056,0.3320464746361323,8255176000.0,0.3682902643413482,51807725000.0,0.3323429855807745,0.3090402840284816,182367914000.0,,0.0438051124459535,-46222000.0,2.0,7.049999999999999,,225832646000.0,14391539000.0,79742708000.0,38614928000.0,352462353000.0,1169885454000.0,0,243631467000.0,423649183000.0,55828587000.0,132436003000.0,2785741000.0,422022762000.0,259283058000.0,259283058000.0,25928305800.0,746236271000.0,,225832646000.0,0.2139660548685585,75238656000.0,37554564000.0,540077000.0,0,41089778000.0,0.0,-76631485000.0,-78400393000.0,39803848000.0,15.206882824580408,41.91955820754509,43.73288004961021,85.6524382571553,5.918372689406404,2.146969191669604,2.0579481593232543,-1392829000.0,5.630738313560519,3.2381156170572742,0.6885785546195828,28.780757090577048,0.3621287721387465,0.9602177754620512,0.0397822245379488,-0.0,-0.0,1.56771454224851,0.1332492163801192,6.942536434281683,4.428444239806746,2013Q2,2013-04-01,2013-04-01,2013Q2,2013-06-30,2013,1364745600000000000,Q2,561585388000.0,0.051883773281464096,,293249986000.0,0.04971519033026883,,0.5221823649015597,268335402000.0,0.0542639760202972,,0.4778176350984403,67225953000.0,0.05086710900262936,,0.1197074468753806,3.5300000000000002,0.2172413793103447,7.049999999999999,0.05855855855855863,,2.999325871155333,0.42543629378089837,2.8193205778848096e-06,15.207766538774562,16.524822695035464,13.829787234042556,3.7252235499205564,4.047843482134896,3.387680167451952,101.0,116.5,97.5,111.0,,
2013Q3,2013Q3,162577034000.0,0.0429204692239832,582663169000.0,,0.0445230980649031,0.1364362895044197,83636464000.0,0.5144420582798921,304541949000.0,,,78940570000.0,19260232000.0,1164881000.0,4738276000.0,13357075000.0,59618054000.0,208064634000.0,0.3570924765282358,,-268170000.0,59349884000.0,51934752000.0,57927783000.0,0.4855579417201079,0.118468344058977,0.3667064931200553,0.3194470382575684,7415132000.0,0.3563097540578825,51951943000.0,0.3195527788998783,0.0027837161349972,184940224000.0,,0.0438051124459535,-17191000.0,2.0,7.15,,216603697000.0,13478598000.0,78844389000.0,36916527000.0,338210837000.0,1177540215000.0,0,148284188000.0,373365454000.0,55841716000.0,132436003000.0,2785741000.0,473974705000.0,259283910000.0,259283910000.0,25928391000.0,804174761000.0,,216603697000.0,-0.040866319212325,95802107000.0,39881540000.0,557892000.0,0,-51498796000.0,-77773307000.0,-52322295000.0,-54821117000.0,-9228949000.0,14.995327456694008,43.89561790750839,39.725345514368,83.62096342187638,6.001869599708104,2.050318557757571,2.265556128830862,43479812000.0,3.897257228382253,1.5478176069760137,0.5422839290998057,31.01522038139582,0.3170723591805313,1.004518458704991,-0.0045184587049908,2.9995423549421174,1.4970240285334468,1.4642839742144058,0.1380649526266922,6.460280217622995,4.411903928053956,2013Q3,2013-07-01,2013-07-01,2013Q3,2013-09-30,2013,1372608000000000000,Q3,582663169000.0,0.03753263786841976,,304541949000.0,0.038506269528006065,,0.5226723863852119,278121220000.0,0.03646860580848732,,0.47732761361478815,70115831000.0,0.0429875348884976,,0.1203368167587061,5.53,0.15208333333333335,7.1499999999999995,0.014184397163120588,,2.9995423549421174,0.41951641327861783,3.2859840768395543e-06,14.247377622377623,15.384615384615385,12.993006993006995,3.2844760974552023,3.5466457644770575,2.995303559271988,109.0,110.0,92.9,100.5,14.780117531093836,
2013Q4,2013Q4,145805847000.0,-0.1031584018195337,597024197000.0,0.1781545379073067,0.0445230980649031,0.1364362895044197,80965110000.0,0.5552939862555718,316057820000.0,1.2036487588397635,0.2036487588397635,64840737000.0,17134564000.0,1157152000.0,3809178000.0,12168234000.0,47754218000.0,209429363000.0,0.3507887352847108,0.0557528578551959,2618427000.0,50372645000.0,44787139000.0,43588638000.0,0.4447060137444282,0.1175163023469147,0.3275192249320426,0.3071697049295972,5585506000.0,0.298949863101169,44810246000.0,0.3073281827991438,-0.1374673705659093,188146790000.0,0.1312453640846202,0.0438051124459535,-23107000.0,1.7299999999999995,7.26,0.1308411214953272,242695447000.0,14670260000.0,71649926000.0,37494893000.0,358486654000.0,1263054977000.0,0,189777934000.0,415279892000.0,55858626000.0,132436003000.0,2785741000.0,518193152000.0,259286171000.0,259286171000.0,25928617100.0,847775085000.0,,242695447000.0,0.1204584702910218,102773102000.0,40579066000.0,572540000.0,0,-2424377000.0,0.0,-75067522000.0,-73954772000.0,26091750000.0,15.644993380482036,46.44699999582321,41.678945041882855,88.12594503770606,5.752639059104991,1.937692423796872,2.159363676541229,27705580000.0,4.040744941220126,1.8465720145335305,0.43601141862975,32.69650215938435,0.3287900365084425,0.9480188701625654,0.0519811298374345,-0.0,-0.0,1.4898467758108271,0.1154390344483001,5.285629029779756,3.5477668681083867,2013Q4,2013-10-01,2013-10-01,2013Q4,2013-12-31,2013,1380556800000000000,Q4,597024197000.0,0.02464722118037299,0.17815453790730662,316057820000.0,0.03781374302559537,0.20364875883976352,0.5293886271078557,280966377000.0,0.010229917012445133,0.15073688985093092,0.4706113728921443,71563234000.0,0.020643027107530187,0.14481254661688858,0.1198665554253909,7.26,0.13084112149532734,7.26,0.01538461538461533,0.13084112149532734,2.9995423549421174,0.41316010398651754,8.720170873610655e-06,14.48294130112312,15.358126721763085,13.774104683195592,3.215822699737178,3.4101507083686,3.058431128581704,100.5,111.5,100.0,105.5,14.813685350982812,
2014Q1,2014Q1,148215172000.0,0.0165242001577618,612484373000.0,0.1472206847147734,0.0445230980649031,0.1364362895044197,77839185000.0,0.525176902942163,321908279000.0,1.1523001755893494,0.1523001755893494,70375987000.0,17876649000.0,1152780000.0,4655977000.0,12067892000.0,52517614000.0,217518968000.0,0.3551420698859202,0.0506314726917639,779711000.0,53297325000.0,47841830000.0,50255975000.0,0.474823097057837,0.1206128141861212,0.3543335900861755,0.3227863204179934,5455495000.0,0.3390744302479371,47866793000.0,0.322954744471099,0.0682108953385348,196436707000.0,0.1394007377853659,0.0438051124459535,-24963000.0,1.85,7.58,0.1381381381381382,242695447000.0,14670260000.0,71649926000.0,37494893000.0,358486654000.0,1262965353000.0,0,189777934000.0,414491629000.0,55858626000.0,132436003000.0,2785741000.0,518891912000.0,259286171000.0,259286171000.0,25928617100.0,848473724000.0,1262965353000.0,231697295000.0,-0.0453166803743129,94860941000.0,40985942000.0,636435000.0,0,7950224000.0,0.0,-115859592000.0,-114905317000.0,-10998152000.0,16.962194555351523,43.507646707045616,43.352719713085385,86.860366420131,5.305917209374613,2.0686018852273484,2.075994322746834,-20998651000.0,4.369465710866183,2.000590885979088,0.5045996012204854,32.723446866744005,0.3281892318070581,0.9853705415797134,0.0146294584202865,-0.0,-0.0,1.4885143962336775,0.1173548994419643,5.6415174266492665,3.790032156171112,2014Q1,2014-01-01,2014-01-01,2014Q1,2014-03-31,2014,1388505600000000000,Q1,612484373000.0,0.02589539264519969,0.14722068471477345,321908279000.0,0.018510723765670534,0.15230017558934938,0.525577946459705,290576094000.0,0.03420237361711087,0.14164551495477906,0.474422053540295,73063579000.0,0.020965304614377844,0.14212009812810278,0.11929051943338316,1.85,0.20915032679738577,7.58,0.0440771349862259,0.13813813813813836,2.9995423549421174,0.39571798877864345,0.0,14.305738786279685,15.633245382585752,13.258575197889183,3.3137554378540193,3.6212566629228933,3.0711923596940993,105.0,118.5,100.5,118.5,14.560956062138747,
2014Q2,2014Q2,183020484000.0,0.2348296164983703,639618537000.0,0.1389515301990015,0.0445230980649031,0.1364362895044197,91826284000.0,0.5017268121747509,334267043000.0,1.139870618783252,0.139870618783252,91194200000.0,20253408000.0,1234897000.0,5408174000.0,13610337000.0,70709172000.0,230599058000.0,0.3605259145264578,0.0522707688398758,3384400000.0,74093572000.0,59655879000.0,56557228000.0,0.4982731878252491,0.1106619737711982,0.3863456726515923,0.3259519245944077,14437693000.0,0.3090213005884084,59698303000.0,0.3261837237847103,0.2471757403927186,204327285000.0,0.1204124701453787,0.0438051124459535,-42424000.0,2.3,7.879999999999999,0.1177304964539007,255053573000.0,20015515000.0,86424428000.0,50954265000.0,459199555000.0,1344956710000.0,0,246635077000.0,467305703000.0,56026837000.0,151250682000.0,0.0,548671157000.0,259293750000.0,259293750000.0,25929375000.0,877651007000.0,1344956710000.0,255053573000.0,0.1008051388774305,81748863000.0,45352501000.0,626613000.0,0,10346753000.0,0.0,-66494559000.0,-73328005000.0,23356278000.0,16.99796405787258,38.86639229956359,49.94086279261829,88.80725509218188,5.29475175342053,2.315625265816364,1.802131460438101,15254304000.0,5.716357217102824,3.016984798920078,0.7302646276560446,33.84775016752236,0.3474503673802259,0.9543226232904524,0.0456773767095477,-0.0,-0.0,1.5324504834756032,0.136079089118043,6.802054862793542,4.438678401775474,2014Q2,2014-04-01,2014-04-01,2014Q2,2014-06-30,2014,1396281600000000000,Q2,639618537000.0,0.04430180621114399,0.13895153019900164,334267043000.0,0.03839219059041343,0.13987061878325213,0.5226037453007714,305351494000.0,0.05084864276549883,0.13794710546616584,0.47739625469922864,74524853000.0,0.020000033121837735,0.1085726519934942,0.11651452965941793,4.15,0.17563739376770537,7.879999999999999,0.03957783641160928,0.11773049645390077,2.9995423549421174,0.38065258311448197,2.9230251543221897e-05,15.427992467660067,16.116751269035536,14.720812182741119,3.59174775408892,3.752095763276438,3.4271110908666675,119.0,127.0,116.0,126.5,14.616012544360123,
2014Q3,2014Q3,209049734000.0,0.1422204194367664,686091237000.0,0.1775091914210215,0.0445230980649031,0.1364362895044197,103471256000.0,0.4949599983705313,354101835000.0,1.162735827240667,0.1627358272406669,105578478000.0,21142734000.0,1323259000.0,4612193000.0,15207282000.0,84427238000.0,255408242000.0,0.372265710777472,0.081253819563117,949406000.0,85376644000.0,76300627000.0,79680984000.0,0.5050400016294687,0.1011373398829581,0.4038619728643137,0.3649879171814684,9076017000.0,0.3811580262522601,76331255000.0,0.3651344277721013,0.2786168310345438,228706597000.0,0.2366514544721217,0.0438051124459535,-30628000.0,2.94,8.82,0.2335664335664337,225884318000.0,20418733000.0,113999433000.0,65336989000.0,476230199000.0,1349907550000.0,0,172248167000.0,392662565000.0,55944799000.0,151250682000.0,0.0,625002412000.0,259293750000.0,259293750000.0,25929375000.0,957244985000.0,1349907550000.0,225884318000.0,-0.1143652082850844,91245080000.0,55581376000.0,651191000.0,0,-78261300000.0,-77785851000.0,-44625139000.0,-47881708000.0,-29169255000.0,17.58499152653564,43.1431964653923,56.83055601451286,99.97375247990516,5.118000760147685,2.086076308049968,1.5836551023188412,46619941000.0,4.3033834262625446,1.8877529287058543,0.8365520091603843,36.91739523224143,0.2908810792264996,0.9888797924640842,0.0111202075359157,2.9999123002386288,1.019056361643733,1.4102007021744805,0.154862260011806,7.974056401037191,5.654554269290515,2014Q3,2014-07-01,2014-07-01,2014Q3,2014-09-30,2014,1404144000000000000,Q3,686091237000.0,0.07265689987343182,0.1775091914210214,354101835000.0,0.0593381621531861,0.16273582724066693,0.5161147904298332,331989402000.0,0.08723686807964337,0.19368598339961252,0.48388520957016684,76407355000.0,0.025260056534428754,0.08973043477157105,0.11136617242642322,7.09,0.2820976491862568,8.82,0.11928934010152292,0.2335664335664338,2.9999123002386288,0.34012611113816654,0.0,14.224596088435375,15.64625850340136,13.492063492063492,3.3984233370405823,3.7380752117494764,3.223412682595563,126.5,138.0,119.0,120.0,14.610317160874562,-0.011488431662471932
